"Env","Rep","Block","Plot","Geno","FLOWER","Duration","PlantHt","CropBF","HI","YLD"
"AWS01-D","3","4",105,"IR66424-1-2-1-5",71,95,95,339.37,7.9169,0.4463
"AWS01-D","3","4",106,"VANDANA",64,92,110,277.97,6.463,0.41779
"AWS01-D","3","4",107,"PALAWAN",78,106,123,463.85,9.9915,0.89816
"AWS01-D","3","4",108,"IR55423-01",80,109,93,563.54,12.6064,1.03259
"AWS01-D","3","4",109,"IR66417-18-1-1-1",91,118,106,582.04,2.4985,0.1691
"AWS01-D","3","4",110,"MARAVILHA",68,92,104,272.52,9.1793,0.582
"AWS01-D","3","4",111,"UPLRI-5",88,116,99,649.9,10.3708,0.78372
"AWS01-D","3","4",112,"WAB638-1",92,118,111,449.5,7.118,0.41337
"AWS01-D","3","5",113,"AZUCENA",86,109,136,549.04,11.6644,0.82742
"AWS01-D","3","5",114,"IR60080-46A",81,106,102,507.07,14.7056,0.86706
"AWS01-D","3","5",115,"IR55419-04",75,97,99,358.41,11.4131,0.951
"AWS01-D","3","5",116,"CT13377-4-2-M",73,99,82,431.91,8.5463,0.42922
"AWS01-D","3","5",117,"PRIMAVERA",68,95,105,410.96,8.1425,0.778
"AWS01-D","3","5",118,"UPLRI-7",79,109,95,664.4,13.8324,1.06863
"AWS01-D","3","5",119,"CT6516-24-3-2",79,103,92,430.34,12.8601,0.644
"AWS01-D","3","5",120,"WAYRAREM",82,106,97,555.19,17.5958,1.136
"UWS02-2","1","1",1,"IRAT212",74,101,80,486.77,41.0053,1.05638
"UWS02-2","1","1",2,"CT13377-4-2-M",NA,NA,NA,NA,NA,NA
"UWS02-2","1","1",4,"CT13382-8-3-M",81,109,95,726.13,39.4418,1.00109
"UWS02-2","1","1",5,"IR71525-19-1-1",83,111,105,847.83,36.9687,2.18511
"UWS02-2","1","1",6,"WAB56-125",72,101,110,1092.1,30.2475,1.71528
"UWS02-2","1","1",7,"PALAWAN",87,115,125,631.93,19.0685,1.44364
"UWS02-2","1","1",9,"AUS196",79,109,115,902.07,35.6552,1.56558
"UWS02-2","1","1",10,"DINORADO",95,120,125,1087.03,25.5895,1.19138
"UWS02-2","1","1",11,"IR66417-18-1-1-1",98,122,115,703.03,28.8986,1.44079
"UWS02-2","1","2",12,"IR66424-1-2-1-5",77,109,95,729.17,35.5657,1.74591
"UWS02-2","1","2",13,"UPLRI-5",94,120,115,803,30.7098,2.4634
"UWS02-2","1","2",14,"IR55423-01",89,116,105,949.97,38.4926,2.07528
"UWS02-2","1","2",15,"PRIMAVERA",70,95,105,968.13,35.973,1.93298
"UWS02-2","1","2",16,"VANDANA",72,95,110,880.37,37.2193,1.69491
"UWS02-2","1","2",17,"WAB181-18",72,97,110,776.83,29.1783,1.46792
"UWS02-2","1","2",18,"IRAT170",91,116,115,1280.13,25.0573,1.6113
"UWS02-2","1","2",19,"IR70360-38-1-B-1",87,115,115,1177.67,29.1254,1.36443
"UWS02-2","1","2",21,"WAB96-1-1",87,111,115,723.67,25.1681,1.59432
"UWS02-2","1","2",22,"C22",94,120,125,1377.5,30.7126,2.81925
"UWS02-2","1","3",23,"IRAT216",85,115,105,1211.57,23.1628,1.50057
"UWS02-2","1","3",24,"IRAT177",85,111,120,1164.67,23.0624,1.67302
"UWS02-2","1","3",25,"AZUCENA",92,116,160,1049.6,27.8233,2.42372
"UWS02-2","1","3",26,"IR55419-04",83,109,120,1235.53,36.23,2.53426
"UWS02-2","1","3",27,"CT6516-24-3-2",83,115,120,1042.03,27.8046,1.65668
"UWS02-2","1","3",28,"CT13370-12-2-M",80,109,115,894.6,32.808,1.31962
"UWS02-2","1","3",29,"CT6510-24-1-2",85,111,115,1466.27,32.9181,2.61689
"UWS02-2","1","3",30,"IR65261-09-1-B",82,109,135,948.57,30.8149,1.79717
"UWS02-2","1","3",31,"IR47686-30-3-2",93,116,125,1656.73,26.9144,2.47049
"UWS02-2","1","3",32,"WAYRAREM",87,115,130,1180.97,32.002,1.37979
"UWS02-2","1","3",33,"IR71524-44-1-1",85,111,125,959.67,35.2935,2.88277
"UWS02-2","1","4",34,"WAB638-1",97,122,150,1500.93,33.8167,1.47102
"UWS02-2","1","4",35,"IR72768-15-1-1",79,109,110,875.5,34.5517,1.60021
"UWS02-2","1","4",36,"IR60080-46A",87,115,125,1087.77,33.0984,1.282
"UWS02-2","1","4",37,"IR65907-116-1-B",80,109,110,780.4,25.6065,1.46808
"UWS02-2","1","4",39,"IR68702-072-1-4-B",83,109,120,1002.87,31.154,1.74804
"UWS02-2","1","4",40,"B6144F-MR-6-0-0",87,115,115,1175.93,35.1919,2.21532
"UWS02-2","1","4",41,"MARAVILHA",72,97,115,506.27,39.6892,1.34015
"UWS02-2","1","4",42,"UPLRI-7",85,115,105,1012.2,34.3773,2.04277
"UWS02-2","1","4",43,"IR70358-84-1-1",70,97,100,818.63,28.1648,1.09277
"UWS02-2","1","4",44,"IR66421-062-1-1-2",NA,NA,NA,NA,NA,NA
"UWS02-2","2","1",45,"UPLRI-7",86,115,105,842.93,38.7773,3.10272
"UWS02-2","2","1",46,"WAB638-1",98,122,150,972.23,25.3094,1.65638
"UWS02-2","2","1",47,"IR47686-30-3-2",93,116,120,1235.1,36.5423,3.12128
"UWS02-2","2","1",48,"IR71525-19-1-1",84,111,120,858.43,39.0673,1.09726
"UWS02-2","2","1",49,"PALAWAN",89,116,150,884.07,29.4397,0.91323
"UWS02-2","2","1",50,"IRAT177",88,115,120,950.9,33.6383,1.30121
"UWS02-2","2","1",51,"IR72768-15-1-1",82,109,110,824.3,26.3537,1.07838
