"Env","Rep","Block","Plot","Geno","Yield"
"UDS02-7","2","4",87,"WAYRAREM",17.78
"UDS02-7","2","4",88,"IR71524-44-1-1",33.33
"UDS02-7","3","1",89,"WAB56-125",60
"UDS02-7","3","1",90,"IR55419-04",57.78
"UDS02-7","3","1",91,"WAYRAREM",24.44
"UDS02-7","3","1",92,"DINORADO",2.45
"UDS02-7","3","1",93,"IR71524-44-1-1",111.11
"UDS02-7","3","1",94,"PRIMAVERA",140
"UDS02-7","3","1",95,"UPLRI-5",38.6
"UDS02-7","3","1",96,"IR70358-84-1-1",60
"UDS02-7","3","1",97,"IR68702-072-1-4-",68.89
"UDS02-7","3","1",98,"CT6510-24-1-2",151.11
"UDS02-7","3","1",99,"IR72",31.95
"UDS02-7","3","2",100,"WAB638-1",10.18
"UDS02-7","3","2",101,"IR65907-116-1-B",186.67
"UDS02-7","3","2",102,"IR66424-1-2-1-5",0.22
"UDS02-7","3","2",103,"IR60080-46A",135.56
"UDS02-7","3","2",104,"WAB181-18",80
"UDS02-7","3","2",105,"UPLRI-7",202.22
"UDS02-7","3","2",106,"IR64",80
"UDS02-7","3","2",107,"IR65261-09-1-B",71.11
"UDS02-7","3","2",108,"IR47686-30-3-2",3.8
"UDS02-7","3","2",109,"CT13370-12-2-M",13.33
"UDS02-7","3","2",110,"CT13382-8-3-M",6.67
"UDS02-7","3","3",111,"IR72768-15-1-1",93.33
"UDS02-7","3","3",112,"PSBRC80",55.56
"UDS02-7","3","3",113,"WAB96-1-1",15.56
"UDS02-7","3","3",114,"IR70360-38-1-B-1",46.67
"UDS02-7","3","3",115,"IRAT212",133.33
"UDS02-7","3","3",116,"B6144F-MR-6-0-0",131.11
"UDS02-7","3","3",117,"PALAWAN",95.56
"UDS02-7","3","3",118,"IR71525-19-1-1",140
"UDS02-7","3","3",119,"IR66421-062-1-1-",53.33
"UDS02-7","3","3",120,"AUS196",62.22
"UDS02-7","3","3",121,"CT13377-4-2-M",55.56
"UDS02-7","3","4",122,"CT6516-24-3-2",71.11
"UDS02-7","3","4",123,"VANDANA",117.78
"UDS02-7","3","4",124,"C22",28.89
"UDS02-7","3","4",125,"MARAVILHA",75.56
"UDS02-7","3","4",126,"PSBRC82",97.78
"UDS02-7","3","4",127,"AZUCENA",75.56
"UDS02-7","3","4",128,"IR55423-01",122.22
"UDS02-7","3","4",129,"IRAT216",35.56
"UDS02-7","3","4",130,"IR66417-18-1-1-1",66.67
"UDS02-7","3","4",131,"IRAT170",48.89
"UDS02-7","3","4",132,"IRAT177",57.78
"UDS02-14","1","1",1,"IR68702-072-1-4-",1.06
"UDS02-14","1","1",2,"PRIMAVERA",55.56
"UDS02-14","1","1",3,"PALAWAN",0.56
"UDS02-14","1","1",4,"AUS196",91.11
"UDS02-14","1","1",5,"CT13370-12-2-M",24.44
"UDS02-14","1","1",6,"CT6510-24-1-2",62.22
"UDS02-14","1","1",7,"WAB638-1",1.96
"UDS02-14","1","1",8,"B6144F-MR-6-0-0",6.41
"UDS02-14","1","1",9,"IR65261-09-1-B",4.44
"UDS02-14","1","1",10,"IR71524-44-1-1",20
"UDS02-14","1","1",11,"PSBRC80",53.33
"UDS02-14","1","2",12,"WAB96-1-1",6.67
"UDS02-14","1","2",13,"IR55423-01",8.89
"UDS02-14","1","2",14,"IR55419-04",8.89
"UDS02-14","1","2",15,"IR60080-46A",11.11
"UDS02-14","1","2",16,"UPLRI-7",8.89
"UDS02-14","1","2",17,"IRAT177",22.22
"UDS02-14","1","2",18,"CT6516-24-3-2",13.33
"UDS02-14","1","2",19,"UPLRI-5",25.73
"UDS02-14","1","2",20,"VANDANA",111.11
"UDS02-14","1","2",21,"WAYRAREM",1.17
"UDS02-14","1","2",22,"WAB181-18",48.89
"UDS02-14","1","3",23,"WAB56-125",80
"UDS02-14","1","3",24,"CT13377-4-2-M",2.22
"UDS02-14","1","3",25,"IR65907-116-1-B",NA
"UDS02-14","1","3",26,"IR66421-062-1-1-",11.11
"UDS02-14","1","3",27,"IR47686-30-3-2",46.67
"UDS02-14","1","3",28,"AZUCENA",20
"UDS02-14","1","3",29,"IRAT170",2.22
"UDS02-14","1","3",30,"IR64",NA
"UDS02-14","1","3",31,"IR70358-84-1-1",128.89
"UDS02-14","1","3",32,"CT13382-8-3-M",2.22
"UDS02-14","1","3",33,"IRAT212",68.89
"UDS02-14","1","4",34,"PSBRC82",15.56
"UDS02-14","1","4",35,"IR70360-38-1-B-1",20
"UDS02-14","1","4",36,"MARAVILHA",4.44
"UDS02-14","1","4",37,"DINORADO",NA
"UDS02-14","1","4",38,"IR66417-18-1-1-1",NA
"UDS02-14","1","4",39,"C22",NA
"UDS02-14","1","4",40,"IRAT216",2.22
"UDS02-14","1","4",41,"IR71525-19-1-1",17.78
"UDS02-14","1","4",42,"IR72768-15-1-1",73.33
"UDS02-14","1","4",43,"IR66424-1-2-1-5",62.22
"UDS02-14","1","4",44,"IR72",17.78
"UDS02-14","2","1",45,"CT13370-12-2-M",17.78
"UDS02-14","2","1",46,"IR47686-30-3-2",18.15
"UDS02-14","2","1",47,"CT13382-8-3-M",37.78
"UDS02-14","2","1",48,"WAB638-1",0.26
"UDS02-14","2","1",49,"PSBRC80",48.89
"UDS02-14","2","1",50,"AZUCENA",33.33
"UDS02-14","2","1",51,"MARAVILHA",24.44
"UDS02-14","2","1",52,"WAYRAREM",22.22
"UDS02-14","2","1",53,"IR66424-1-2-1-5",77.78
"UDS02-14","2","1",54,"IR60080-46A",51.11
"UDS02-14","2","1",55,"WAB181-18",86.67
"UDS02-14","2","2",56,"PRIMAVERA",40
"UDS02-14","2","2",57,"IRAT212",73.33
"UDS02-14","2","2",58,"WAB96-1-1",4.44
"UDS02-14","2","2",59,"IR70358-84-1-1",102.22
"UDS02-14","2","2",60,"CT6516-24-3-2",8.89
"UDS02-14","2","2",61,"IR72",71.11
"UDS02-14","2","2",62,"CT6510-24-1-2",42.22
"UDS02-14","2","2",63,"B6144F-MR-6-0-0",33.33
"UDS02-14","2","2",64,"IR70360-38-1-B-1",22.22
"UDS02-14","2","2",65,"VANDANA",106.67
"UDS02-14","2","2",66,"DINORADO",24.44
"UDS02-14","2","3",67,"PALAWAN",20
"UDS02-14","2","3",68,"UPLRI-7",20
"UDS02-14","2","3",69,"IRAT170",33.33
"UDS02-14","2","3",70,"IR64",51.11
"UDS02-14","2","3",71,"IRAT216",26.67
"UDS02-14","2","3",72,"IR66417-18-1-1-1",66.67
"UDS02-14","2","3",73,"IR71524-44-1-1",62.22
"UDS02-14","2","3",74,"IR55423-01",71.11
"UDS02-14","2","3",75,"IR55419-04",6.67
"UDS02-14","2","3",76,"C22",27.86
"UDS02-14","2","3",77,"IR65907-116-1-B",26.67
"UDS02-14","2","4",78,"IR68702-072-1-4-",13.33
"UDS02-14","2","4",79,"PSBRC82",11.11
"UDS02-14","2","4",80,"IR66421-062-1-1-",6.67
"UDS02-14","2","4",81,"CT13377-4-2-M",8.89
"UDS02-14","2","4",82,"AUS196",157.78
"UDS02-14","2","4",83,"UPLRI-5",106.67
"UDS02-14","2","4",84,"IR71525-19-1-1",117.78
"UDS02-14","2","4",85,"IR72768-15-1-1",133.33
"UDS02-14","2","4",86,"IR65261-09-1-B",111.11
"UDS02-14","2","4",87,"WAB56-125",151.11
"UDS02-14","2","4",88,"IRAT177",57.78
"UDS02-14","3","1",89,"C22",53.33
"UDS02-14","3","1",90,"WAB638-1",21.99
"UDS02-14","3","1",91,"B6144F-MR-6-0-0",84.44
"UDS02-14","3","1",92,"PALAWAN",66.67
