"GENO","DTF","YIELD","PK","SBM","HI","PH","TILLER"
"172",95,84.94,78.89,608.06,0.12,93.44,156.02
"173",96,316.03,81.03,443.06,0.4,76.11,127.78
"174",92,81.03,45.3,664.44,0.11,111,124.07
"175",92,98.2,48.64,822.22,0.12,113.33,111.11
"176",95,90.97,75.39,335.83,0.23,91.33,111.11
"177",97,170.18,67.21,521.39,0.24,87.44,112.96
"178",85,105.4,39.34,524.58,0.17,90.78,120.37
"179",95,109.7,47.42,485.83,0.18,95.22,116.67
"180",95,68.13,42.03,918.33,0.01,110.33,129.63
"181",93,79.67,67.71,461.11,0.21,83.83,130.56
"182",89,33.31,50.42,627.78,0.05,80.83,91.67
"183",97,184.41,48.01,849.17,0.19,95.56,96.3
"184",92,206.48,66.3,664.17,0.24,75.89,100
"185",96,179.36,76.86,616.67,0.21,106.33,127.78
"186",93,349.66,69.71,785.83,0.32,109,118.06
"187",93,140.73,72.88,471.94,0.22,97.33,105.56
"188",95,212.55,32.41,828.33,0.21,124.11,134.26
"189",92,122.97,74.85,437.78,0.21,80.22,134.26
"190",90,159.68,72.28,521.67,0.21,82.67,129.63
"191",91,113.69,42.98,471.11,0.2,74.56,114.81
"192",93,92.71,53.29,526.67,0.2,100.67,119.44
"193",90,98.22,74.15,471.11,0.17,63.17,105.56
"194",90,101.46,41.35,631.94,0.14,102.44,102.78
"195",93,37.8,26.93,586.67,0.04,107.67,119.44
"196",95,270.96,77.59,604.58,0.26,80.56,89.81
"197",90,145.77,55.84,507.22,0.22,92.44,90.74
"198",93,192.78,72.88,489.44,0.3,75.33,125
"199",94,82.26,73.24,927.5,0.08,107.78,112.96
"200",95,167.47,68.9,827.08,0.15,116.78,126.85
"201",94,125.84,67.28,485.28,0.2,80.92,102.08
"202",80,52.02,67.26,369.9,0.14,74,105.56
