"CTRY","Env","Year","Geno","Block","Yield"
"COL","NT ACNATIVA",94,"W56-125","2",0.686
"COL","NT ACNATIVA",94,"W56-125","3",0.706
"COL","NT ACNATIVA",94,"W56-50","1",2.137
"COL","NT ACNATIVA",94,"W56-50","2",1.401
"COL","NT ACNATIVA",94,"W56-50","3",1.835
"COL","NT ACNATIVA",94,"W96-1-1","1",1.086
"COL","NT ACNATIVA",94,"W96-1-1","2",1.112
"COL","NT ACNATIVA",94,"W96-1-1","3",1.615
"COL","SY AC SOYA ",94,"AZU","1",1.532
"COL","SY AC SOYA ",94,"AZU","2",1.181
"COL","SY AC SOYA ",94,"AZU","3",1.541
"COL","SY AC SOYA ",94,"BGORA","1",0.331
"COL","SY AC SOYA ",94,"BGORA","2",0.677
"COL","SY AC SOYA ",94,"BGORA","3",0.361
"COL","SY AC SOYA ",94,"GUAR","1",1.135
"COL","SY AC SOYA ",94,"GUAR","2",1.128
"COL","SY AC SOYA ",94,"GUAR","3",1.516
"COL","SY AC SOYA ",94,"IT146","1",0.67
"COL","SY AC SOYA ",94,"IT146","2",1.217
"COL","SY AC SOYA ",94,"IT146","3",0.939
"COL","SY AC SOYA ",94,"OL5","1",0.844
"COL","SY AC SOYA ",94,"OL5","2",1.288
"COL","SY AC SOYA ",94,"OL5","3",1.129
"COL","SY AC SOYA ",94,"OS6","1",1.106
"COL","SY AC SOYA ",94,"OS6","2",1.951
"COL","SY AC SOYA ",94,"OS6","3",1.952
"COL","SY AC SOYA ",94,"UPL5","1",1.705
"COL","SY AC SOYA ",94,"UPL5","2",1.862
"COL","SY AC SOYA ",94,"UPL5","3",1.433
"COL","SY AC SOYA ",94,"VAND","1",1.862
"COL","SY AC SOYA ",94,"VAND","2",NA
"COL","SY AC SOYA ",94,"VAND","3",0.875
"COL","SY AC SOYA ",94,"W181-18","1",0.806
"COL","SY AC SOYA ",94,"W181-18","2",1.349
"COL","SY AC SOYA ",94,"W181-18","3",1.072
"COL","SY AC SOYA ",94,"W56-125","1",1.106
"COL","SY AC SOYA ",94,"W56-125","2",0.88
"COL","SY AC SOYA ",94,"W56-125","3",1.087
"COL","SY AC SOYA ",94,"W56-50","1",1.552
"COL","SY AC SOYA ",94,"W56-50","2",1.21
"COL","SY AC SOYA ",94,"W56-50","3",1.723
"COL","SY AC SOYA ",94,"W96-1-1","1",1.275
"COL","SY AC SOYA ",94,"W96-1-1","2",1.611
"COL","SY AC SOYA ",94,"W96-1-1","3",1.606
"IDN","SG SITIUNG ",94,"AZU","1",1.04
"IDN","SG SITIUNG ",94,"AZU","2",1.23
"IDN","SG SITIUNG ",94,"AZU","3",1.33
"IDN","SG SITIUNG ",94,"AZU","4",0.96
"IDN","SG SITIUNG ",94,"BGORA","1",2.64
"IDN","SG SITIUNG ",94,"BGORA","2",1.26
"IDN","SG SITIUNG ",94,"BGORA","3",2.22
"IDN","SG SITIUNG ",94,"BGORA","4",1.47
"IDN","SG SITIUNG ",94,"GUAR","1",1.17
"IDN","SG SITIUNG ",94,"GUAR","2",2.12
"IDN","SG SITIUNG ",94,"GUAR","3",1.01
"IDN","SG SITIUNG ",94,"GUAR","4",2.06
"IDN","SG SITIUNG ",94,"IT146","1",0.81
"IDN","SG SITIUNG ",94,"IT146","2",0.81
"IDN","SG SITIUNG ",94,"IT146","3",0.73
"IDN","SG SITIUNG ",94,"IT146","4",0.82
"IDN","SG SITIUNG ",94,"OL5","1",1.36
"IDN","SG SITIUNG ",94,"OL5","2",2.51
"IDN","SG SITIUNG ",94,"OL5","3",1.45
"IDN","SG SITIUNG ",94,"OL5","4",2.12
"IDN","SG SITIUNG ",94,"OS6","1",0.96
"IDN","SG SITIUNG ",94,"OS6","2",1.72
"IDN","SG SITIUNG ",94,"OS6","3",2.07
"IDN","SG SITIUNG ",94,"OS6","4",NA
"IDN","SG SITIUNG ",94,"UPL5","1",1.08
"IDN","SG SITIUNG ",94,"UPL5","2",0.83
"IDN","SG SITIUNG ",94,"UPL5","3",0.98
"IDN","SG SITIUNG ",94,"UPL5","4",0.77
"IDN","SG SITIUNG ",94,"VAND","1",2.05
"IDN","SG SITIUNG ",94,"VAND","2",1.95
"IDN","SG SITIUNG ",94,"VAND","3",1.25
"IDN","SG SITIUNG ",94,"VAND","4",2.282
"IDN","SG SITIUNG ",94,"W181-18","1",1.31
"IDN","SG SITIUNG ",94,"W181-18","2",0.96
"IDN","SG SITIUNG ",94,"W181-18","3",2.41
"IDN","SG SITIUNG ",94,"W181-18","4",2.62
"IDN","SG SITIUNG ",94,"W56-125","1",NA
"IDN","SG SITIUNG ",94,"W56-125","2",2.18
"IDN","SG SITIUNG ",94,"W56-125","3",NA
"IDN","SG SITIUNG ",94,"W56-125","4",1.93
"IDN","SG SITIUNG ",94,"W56-50","1",0.96
"IDN","SG SITIUNG ",94,"W56-50","2",1.71
"IDN","SG SITIUNG ",94,"W56-50","3",1.31
"IDN","SG SITIUNG ",94,"W56-50","4",1.41
"IDN","SG SITIUNG ",94,"W96-1-1","1",0.79
"IDN","SG SITIUNG ",94,"W96-1-1","2",NA
"IDN","SG SITIUNG ",94,"W96-1-1","3",1.45
"IDN","SG SITIUNG ",94,"W96-1-1","4",1.34
"PHL","BH BOHOL PI",94,"AZU","1",1.072
"PHL","BH BOHOL PI",94,"AZU","2",1.488
"PHL","BH BOHOL PI",94,"AZU","3",1.12
"PHL","BH BOHOL PI",94,"AZU","4",1.696
"PHL","BH BOHOL PI",94,"BGORA","1",0.768
"PHL","BH BOHOL PI",94,"BGORA","2",0.96
"PHL","BH BOHOL PI",94,"BGORA","3",0.864
"PHL","BH BOHOL PI",94,"BGORA","4",0.8
"PHL","BH BOHOL PI",94,"GUAR","1",1.344
"PHL","BH BOHOL PI",94,"GUAR","2",1.28
"PHL","BH BOHOL PI",94,"GUAR","3",1.28
"PHL","BH BOHOL PI",94,"GUAR","4",1.28
"PHL","BH BOHOL PI",94,"IT146","1",NA
"PHL","BH BOHOL PI",94,"IT146","2",1.12
"PHL","BH BOHOL PI",94,"IT146","3",0.608
"PHL","BH BOHOL PI",94,"IT146","4",1.024
"PHL","BH BOHOL PI",94,"OL5","1",1.664
"PHL","BH BOHOL PI",94,"OL5","2",1.504
"PHL","BH BOHOL PI",94,"OL5","3",1.28
"PHL","BH BOHOL PI",94,"OL5","4",1.648
"PHL","BH BOHOL PI",94,"OS6","1",2.032
"PHL","BH BOHOL PI",94,"OS6","2",0.928
"PHL","BH BOHOL PI",94,"OS6","3",1.104
"PHL","BH BOHOL PI",94,"OS6","4",1.488
"PHL","BH BOHOL PI",94,"UPL5","1",1.504
"PHL","BH BOHOL PI",94,"UPL5","2",1.312
"PHL","BH BOHOL PI",94,"UPL5","3",1.488
"PHL","BH BOHOL PI",94,"UPL5","4",1.568
"PHL","BH BOHOL PI",94,"VAND","1",1.888
"PHL","BH BOHOL PI",94,"VAND","2",1.984
"PHL","BH BOHOL PI",94,"VAND","3",1.504
"PHL","BH BOHOL PI",94,"VAND","4",1.632
"PHL","BH BOHOL PI",94,"W181-18","1",1.76
"PHL","BH BOHOL PI",94,"W181-18","2",1.344
"PHL","BH BOHOL PI",94,"W181-18","3",1.216
"PHL","BH BOHOL PI",94,"W181-18","4",1.984
"PHL","BH BOHOL PI",94,"W56-125","1",0.928
"PHL","BH BOHOL PI",94,"W56-125","2",1.248
"PHL","BH BOHOL PI",94,"W56-125","3",1.024
"PHL","BH BOHOL PI",94,"W56-125","4",1.12
"PHL","BH BOHOL PI",94,"W56-50","1",1.664
"PHL","BH BOHOL PI",94,"W56-50","2",1.92
"PHL","BH BOHOL PI",94,"W56-50","3",1.184
"PHL","BH BOHOL PI",94,"W56-50","4",1.504
"PHL","BH BOHOL PI",94,"W96-1-1","1",1.04
"PHL","BH BOHOL PI",94,"W96-1-1","2",1.008
"PHL","BH BOHOL PI",94,"W96-1-1","3",0.72
"PHL","BH BOHOL PI",94,"W96-1-1","4",1.28
"PHL","CV CAVINTI ",94,"AZU","1",0.518
"PHL","CV CAVINTI ",94,"AZU","2",0.202
"PHL","CV CAVINTI ",94,"AZU","3",0.554
"PHL","CV CAVINTI ",94,"AZU","4",0.661
"PHL","CV CAVINTI ",94,"BGORA","1",0.298
"PHL","CV CAVINTI ",94,"BGORA","2",0.238
"PHL","CV CAVINTI ",94,"BGORA","3",0.158
"PHL","CV CAVINTI ",94,"BGORA","4",0.173
"PHL","CV CAVINTI ",94,"GUAR","1",0.325
"PHL","CV CAVINTI ",94,"GUAR","2",0.309
"PHL","CV CAVINTI ",94,"GUAR","3",0.384
"PHL","CV CAVINTI ",94,"GUAR","4",0.339
"PHL","CV CAVINTI ",94,"IT146","1",0.163
"PHL","CV CAVINTI ",94,"IT146","2",0.179
"PHL","CV CAVINTI ",94,"IT146","3",0.152
"PHL","CV CAVINTI ",94,"IT146","4",0.12
"PHL","CV CAVINTI ",94,"OL5","1",0.181
"PHL","CV CAVINTI ",94,"OL5","2",0.107
"PHL","CV CAVINTI ",94,"OL5","3",0.094
"PHL","CV CAVINTI ",94,"OL5","4",0.157
"PHL","CV CAVINTI ",94,"OS6","1",0.165
"PHL","CV CAVINTI ",94,"OS6","2",0.274
"PHL","CV CAVINTI ",94,"OS6","3",0.667
"PHL","CV CAVINTI ",94,"OS6","4",0.301
"PHL","CV CAVINTI ",94,"UPL5","1",0.314
"PHL","CV CAVINTI ",94,"UPL5","2",0.291
"PHL","CV CAVINTI ",94,"UPL5","3",0.24
"PHL","CV CAVINTI ",94,"UPL5","4",0.254
"PHL","CV CAVINTI ",94,"VAND","1",0.146
"PHL","CV CAVINTI ",94,"VAND","2",0.179
"PHL","CV CAVINTI ",94,"VAND","3",0.208
"PHL","CV CAVINTI ",94,"VAND","4",0.317
"PHL","CV CAVINTI ",94,"W181-18","1",0.354
"PHL","CV CAVINTI ",94,"W181-18","2",0.31
"PHL","CV CAVINTI ",94,"W181-18","3",0.563
"PHL","CV CAVINTI ",94,"W181-18","4",0.259
"PHL","CV CAVINTI ",94,"W56-125","1",0.634
"PHL","CV CAVINTI ",94,"W56-125","2",0.526
"PHL","CV CAVINTI ",94,"W56-125","3",0.451
"PHL","CV CAVINTI ",94,"W56-125","4",0.418
"PHL","CV CAVINTI ",94,"W56-50","1",0.456
"PHL","CV CAVINTI ",94,"W56-50","2",0.526
"PHL","CV CAVINTI ",94,"W56-50","3",0.517
"PHL","CV CAVINTI ",94,"W56-50","4",0.744
"PHL","CV CAVINTI ",94,"W96-1-1","1",0.325
"PHL","CV CAVINTI ",94,"W96-1-1","2",0.478
"PHL","CV CAVINTI ",94,"W96-1-1","3",0.286
"PHL","CV CAVINTI ",94,"W96-1-1","4",0.267
"PHL","ML MALIGAYA",94,"AZU","1",1.788
"PHL","ML MALIGAYA",94,"AZU","2",1.181
"PHL","ML MALIGAYA",94,"AZU","3",1.38
"PHL","ML MALIGAYA",94,"AZU","4",1.337
"PHL","ML MALIGAYA",94,"BGORA","1",1.525
"PHL","ML MALIGAYA",94,"BGORA","2",1.187
"PHL","ML MALIGAYA",94,"BGORA","3",1.653
"PHL","ML MALIGAYA",94,"BGORA","4",0.611
"PHL","ML MALIGAYA",94,"GUAR","1",1.3
"PHL","ML MALIGAYA",94,"GUAR","2",1.357
"PHL","ML MALIGAYA",94,"GUAR","3",1.489
"PHL","ML MALIGAYA",94,"GUAR","4",0.936
"PHL","ML MALIGAYA",94,"IT146","1",1.731
"PHL","ML MALIGAYA",94,"IT146","2",1.608
"PHL","ML MALIGAYA",94,"IT146","3",1.464
"PHL","ML MALIGAYA",94,"IT146","4",0.66
"PHL","ML MALIGAYA",94,"OL5","1",2.885
"PHL","ML MALIGAYA",94,"OL5","2",1.665
"PHL","ML MALIGAYA",94,"OL5","3",1.767
"PHL","ML MALIGAYA",94,"OL5","4",0.344
"PHL","ML MALIGAYA",94,"OS6","1",1.793
"PHL","ML MALIGAYA",94,"OS6","2",1.408
"PHL","ML MALIGAYA",94,"OS6","3",0.901
"PHL","ML MALIGAYA",94,"OS6","4",0.897
"PHL","ML MALIGAYA",94,"UPL5","1",2.279
"PHL","ML MALIGAYA",94,"UPL5","2",3.413
"PHL","ML MALIGAYA",94,"UPL5","3",3.019
"PHL","ML MALIGAYA",94,"UPL5","4",0.583
"PHL","ML MALIGAYA",94,"VAND","1",1.663
"PHL","ML MALIGAYA",94,"VAND","2",1.729
"PHL","ML MALIGAYA",94,"VAND","3",1.44
"PHL","ML MALIGAYA",94,"VAND","4",1.049
"PHL","ML MALIGAYA",94,"W181-18","1",1.588
"PHL","ML MALIGAYA",94,"W181-18","2",0.927
"PHL","ML MALIGAYA",94,"W181-18","3",0.664
"PHL","ML MALIGAYA",94,"W181-18","4",0.539
"PHL","ML MALIGAYA",94,"W56-125","1",1.069
"PHL","ML MALIGAYA",94,"W56-125","2",1.675
"PHL","ML MALIGAYA",94,"W56-125","3",1.128
"PHL","ML MALIGAYA",94,"W56-125","4",0.513
"PHL","ML MALIGAYA",94,"W56-50","1",2.397
"PHL","ML MALIGAYA",94,"W56-50","2",0.815
"PHL","ML MALIGAYA",94,"W56-50","3",0.701
"PHL","ML MALIGAYA",94,"W56-50","4",0.561
"PHL","ML MALIGAYA",94,"W96-1-1","1",1.541
"PHL","ML MALIGAYA",94,"W96-1-1","2",1.084
"PHL","ML MALIGAYA",94,"W96-1-1","3",0.801
"PHL","ML MALIGAYA",94,"W96-1-1","4",1.272
"PHL","MD MINDANAO",94,"AZU","1",1.744
"PHL","MD MINDANAO",94,"AZU","2",1.684
"PHL","MD MINDANAO",94,"AZU","3",2.293
"PHL","MD MINDANAO",94,"AZU","4",3.36
"PHL","MD MINDANAO",94,"BGORA","1",1.613
"PHL","MD MINDANAO",94,"BGORA","2",1.253
"PHL","MD MINDANAO",94,"BGORA","3",1.041
"PHL","MD MINDANAO",94,"BGORA","4",0.324
"PHL","MD MINDANAO",94,"GUAR","1",1.533
"PHL","MD MINDANAO",94,"GUAR","2",1.344
"PHL","MD MINDANAO",94,"GUAR","3",0.749
"PHL","MD MINDANAO",94,"GUAR","4",0.333
"PHL","MD MINDANAO",94,"IT146","1",2.067
